"adverts"	"sales"	"airplay"	"attract"	"standardized.residuals"	"cooks.distance"	"leverage"	"covariance.ratios"
856.985	170	10	6	0.50736788521527	0.00117374828875366	0.017911811197426	1.03383749826738
836.331	310	38	7	1.28140948083832	0.00388506811935243	0.0093754441844072	0.996235605314397
236.908	90	19	4	-0.254571625045821	0.000451870544621331	0.0271335890679167	1.04775114462605
1077.855	140	13	6	-0.754116411048785	0.00271457540255409	0.0187357504556593	1.02813971846014
579.321	300	30	7	2.10407875290071	0.00594835802830878	0.0053457084736055	0.936537686643679
1500	340	38	8	0.487023826462	0.00158120661969974	0.0259728298032196	1.04282449689228
731.364	170	22	8	-0.603148788736984	0.00101969868045455	0.0110876808262806	1.02447353597815
25.689	100	23	6	-0.417741438369269	0.000600046934782424	0.0135674272624196	1.03102941608152
391.749	200	22	9	0.418747990520846	0.000988803417618237	0.0220585684382836	1.03996361674341
233.999	80	20	7	-1.24232427363442	0.00391965338549077	0.0100565289752532	0.998946391606325
275.7	100	18	6	-0.510757231136444	0.000703898760934452	0.0106777298659661	1.0262055467511
56.895	70	37	7	-2.36354940981169	0.0222889831193746	0.0157088522397949	0.923698297285143
255.117	50	16	8	-1.87736793969804	0.0159247489687979	0.0177523074003436	0.966367397167165
566.501	240	32	8	0.471056517949335	0.00052116394302664	0.0093073757509325	1.02560260119559
102.568	160	26	5	0.748350630653926	0.00254587844673742	0.0178591656593667	1.02740422557364
250.568	290	53	9	0.37048170865951	0.00142787414903396	0.0399494214369905	1.06016819941938
68.594	140	28	7	-0.237168646976751	0.000167076898507876	0.0117417356597094	1.03161291470751
642.786	210	32	7	-0.0705347826174851	7.16429041146592e-06	0.00572706518935446	1.02644604634694
1500	300	24	7	0.877921780314792	0.00451357785160172	0.0228882978545108	1.02824572676908
102.563	230	37	6	1.2162486732658	0.00622147022890135	0.016544849414376	1.00686359893324
756.984	280	30	8	1.12314258443799	0.00291483720131085	0.00915817289979319	1.00384106446099
51.229	160	19	7	0.870063965080614	0.00270822222917336	0.0141081863040095	1.01937524364402
644.151	200	47	6	-1.13463446863896	0.00703164232529904	0.0213805397707136	1.01583687094132
15.313	110	22	5	0.124361502435008	7.74243020385822e-05	0.0196315546922287	1.04078118993936
243.237	110	10	8	-0.137589996408253	0.000118537769714634	0.0244342805250159	1.04583100351357
256.894	70	1	4	0.588022235300384	0.00383583681447947	0.0424889886644834	1.05846071308075
22.464	100	1	6	1.18427252872957	0.0121737541277209	0.0335550826948458	1.02620342964999
45.689	190	39	6	0.31932210295308	0.000512707199462629	0.0197162025095895	1.03903465943684
724.938	70	8	5	-1.0165254760126	0.0062768394812887	0.0237212897256565	1.02359766178256
1126.461	360	38	7	1.82654419364463	0.0113658782489516	0.0134438735737045	0.965916688819205
1985.119	360	35	5	0.98068190954434	0.0148450606193128	0.0581522273436332	1.06257629098135
1837.516	300	40	5	-0.42546331549977	0.00254675575610135	0.0532777216629564	1.07413310595412
135.986	120	22	7	-0.35486960908085	0.000349463514228302	0.010978173523539	1.02935089571582
237.703	150	27	8	-0.49531747291234	0.000783743354529191	0.012616888365418	1.02854738094206
976.641	220	31	6	-0.153635286704381	6.08983998240199e-05	0.0102146838307879	1.03070792826891
1452.689	280	19	7	0.896746028808373	0.00493683319033493	0.0239680959282942	1.02867889605196
1600	300	24	9	0.221013467863988	0.000495498258575293	0.0389933923447898	1.06102709449442
268.598	140	1	7	1.35608407228931	0.0149428958987959	0.0314796771923644	1.01484832406897
900.889	290	38	8	0.501966070365402	0.000795956416631811	0.0124780667478768	1.02826346435054
982.063	180	26	6	-0.657775189048329	0.00107327519213433	0.00982489929335421	1.0217268245693
201.356	140	11	6	0.984504023892976	0.00419849810064062	0.017031718308577	1.0179687122958
746.024	210	34	6	-0.164765461911744	6.11931171193785e-05	0.00893577055063612	1.02930340174625
1132.877	250	55	7	-1.77994277835466	0.0281122107711005	0.034276442095442	0.990201051272992
1000	250	5	7	2.09539916076742	0.0313640206351772	0.027779409242147	0.958877434224826
75.896	120	34	6	-0.873903142455188	0.00290803067676762	0.0150026315341146	1.02016095826497
1351.254	290	37	9	-0.483868618922328	0.00170270148879551	0.0282676847037843	1.04535267362293
202.705	60	13	8	-1.35387393886597	0.010075385976782	0.0215139359604292	1.00463619061156
365.985	140	23	6	-0.179578404916695	6.41926262868832e-05	0.00789937334310913	1.02812109471901
305.268	290	54	6	0.91599306060882	0.0079034957478638	0.0363104795400526	1.04110893084428
263.268	160	18	7	0.556170336209033	0.000839956094162379	0.0107450677358072	1.02525961635938
513.694	100	2	7	-0.0286758231191957	5.9748113077307e-06	0.0282429527016297	1.05031810774686
152.609	160	11	6	1.50212724110471	0.0102188695268676	0.017793130680146	0.992129062302921
35.987	150	30	8	-0.346060182351907	0.000520494489587075	0.0170878555400414	1.03587984747779
102.568	140	22	7	0.132846907503613	5.21086350374448e-05	0.0116726006064915	1.03235384078286
215.368	230	36	6	1.0816156019536	0.00399402006128889	0.0134720516807148	1.0101280789517
426.784	230	37	8	0.151713556649696	7.10955786032747e-05	0.0122045237767945	1.03279658175498
507.772	30	9	3	-1.08897577497915	0.0146515624571227	0.0470931709557263	1.04542515129658
233.291	80	2	7	0.0532833961706419	2.20444701061336e-05	0.0301226164074963	1.0523103550981
1035.433	190	12	8	-0.00815442214614105	4.05178906014782e-07	0.0237937033165289	1.04554720654007
102.642	90	5	9	-0.189498491823324	0.000435902103805003	0.0463069379208016	1.06944613339041
526.142	120	14	7	-0.487025909083688	0.000709320468124692	0.011820455481191	1.02788947337742
624.538	150	20	5	0.0175155212141682	1.08628419855893e-06	0.0139652762857521	1.03512050492751
912.349	230	57	6	-1.71875733173662	0.0308435496460016	0.0400890852766319	1.00062814219557
215.994	150	19	8	0.120036306321944	5.88391059293047e-05	0.0160717890231815	1.03703810850218
561.963	210	35	7	-0.139668375940632	3.46079802014639e-05	0.00704642803723741	1.02750511652207
474.76	180	22	5	0.786802012725402	0.00211343887521895	0.0134718806659992	1.02160000845677
231.523	140	16	7	0.330778350305394	0.000349107276050543	0.0126019285395066	1.03139147820378
678.596	360	53	7	1.57019287847905	0.0170806338443194	0.0269641545076241	0.997163201679661
70.922	10	4	6	-1.06394289055648	0.00811585263431492	0.0278790401430178	1.02589659057231
1567.548	240	29	6	-0.659244764443826	0.00300567072485102	0.0269188844443263	1.03963420577758
263.598	270	43	7	1.11010994482881	0.00523182744876188	0.0166981467900876	1.01214339780764
1423.568	290	26	7	0.656607013889275	0.00213427492757133	0.0194170678617125	1.03175386834012
715.678	220	28	7	0.2974872573205	0.000118545017236064	0.00532949183719645	1.02428790442588
777.237	230	37	8	-0.483668639077895	0.000655592325486403	0.0110855366832847	1.02719398639628
509.43	220	32	5	0.85983538026204	0.00283104947834492	0.0150860354292147	1.02075725854541
964.11	240	34	7	-0.156179790092755	5.33126569624756e-05	0.00866683017505397	1.02908203710347
583.627	260	30	7	1.24452498411241	0.00207761438155057	0.00533695667286477	0.994094575220254
923.373	170	15	7	-0.211317997934779	0.000152515170499647	0.0134774300553819	1.03367254802069
344.392	130	23	7	-0.589943700082878	0.000649188573040087	0.00740596040239136	1.02100239394326
1095.578	270	31	8	0.225205565975611	0.000169508422803882	0.0131924512342088	1.03324616350131
100.025	140	21	5	0.685232694533605	0.0021466127012893	0.0179583909839579	1.02941221937799
30.425	60	28	1	-0.477460922026658	0.00624195323698828	0.0987116875680386	1.12719849756171
1080.342	210	18	7	0.143072936397227	7.15474220289061e-05	0.0137882507361249	1.03450889869184
799.899	210	28	7	-0.0677014279834268	6.71529724716986e-06	0.00582628668111945	1.02655669446704
1071.752	240	37	8	-0.805293001522956	0.00234387487037139	0.0142512448510917	1.0217916437944
893.355	210	26	6	0.143102235064092	4.3880812154095e-05	0.00849836246482157	1.02898938074226
283.161	200	30	8	0.274814216186551	0.000226182556369959	0.0118377447296715	1.03130726998912
917.017	140	10	7	-0.482569225908232	0.00112508827585992	0.018958960426239	1.03546028908806
234.568	90	21	7	-1.10152767667313	0.00293860368296568	0.00959451923216392	1.00527563292143
456.897	120	18	9	-1.13011501392191	0.00797993135463896	0.024383332922638	1.0191777272772
206.973	100	14	7	-0.335981918229487	0.00041948759120603	0.014646683000818	1.03345854869734
1294.099	360	38	7	1.52539226298683	0.0103331137927837	0.0174534489634152	0.990344602518189
826.859	180	36	6	-1.09574827681366	0.00323406209541051	0.0106593957514528	1.00662012103291
564.158	150	32	7	-1.20634243360992	0.00213582451715511	0.00583636204084651	0.996509937135832
192.607	110	9	5	0.742067177512104	0.00334496812139086	0.0237213457160635	1.03377151387562
10.652	90	39	5	-1.53060555013669	0.0169305769605894	0.0280949976071973	1.00085865419466
45.689	160	24	7	0.519567878561133	0.000851884869552431	0.0124654683249537	1.02787259004062
42.568	230	45	7	0.512962439684182	0.00162508679830624	0.0241083248303831	1.04028058768592
20.456	40	13	8	-1.4539307347172	0.0137092576880642	0.0252850674305516	1.00269882075685
635.192	60	17	6	-1.94342315839657	0.00917056518837611	0.00961886228477683	0.95341407660976
1002.273	230	32	7	-0.294916371010763	0.000189324760646874	0.00863186423903523	1.02773189417646
1177.047	230	23	6	0.272356616455765	0.000274302796915512	0.0145759716391806	1.03420138648166
507.638	120	0	6	0.798067968869423	0.0049843403329918	0.0303529969687453	1.03900571417437
215.689	150	35	5	-0.321517637782995	0.000527165635422722	0.019990685283853	1.03929581572723
526.48	120	26	6	-1.11116664336877	0.00205863513035334	0.00662512612668078	1.0018317652528
26.895	60	19	6	-0.987764384207508	0.003627987265883	0.0146557153619224	1.01538011834632
883.877	280	26	7	1.41557801539676	0.00344460400876196	0.00682897802349985	0.986301877671903
9.104	120	53	8	-2.62881409071654	0.0707658817516239	0.0393486609954995	0.92037309307368
103.568	230	29	8	1.31567147719999	0.00672555956949857	0.0153036777325594	1.00039919559752
169.583	230	28	7	1.50069802350441	0.0054280642484286	0.0095488573844218	0.983958001743094
429.504	40	17	6	-1.99787653846771	0.00993909730956679	0.00986200832728024	0.94939633915701
223.639	140	26	8	-0.611677438597921	0.00123265759664765	0.0130068361204771	1.02624814204331
145.585	360	42	8	3.09333296653134	0.0508669997203079	0.0208211539964755	0.853246983319189
985.968	210	17	6	0.623366598443562	0.00132179819877608	0.0134235942396239	1.02637862752923
500.922	260	36	8	0.729793655211063	0.0014826729296008	0.0110127523911359	1.02086477508136
226.652	250	45	7	0.60564501902147	0.00184776099519574	0.0197517492209603	1.03346473434242
1051.168	200	20	7	-0.161682835459264	7.81416893040516e-05	0.0118155238304356	1.0323241868349
68.093	150	15	7	0.914724974902887	0.00348915756983259	0.0164064705480036	1.0200895754216
1547.159	250	28	8	-0.811427609861406	0.00450191804004327	0.0266219320103341	1.03456749472872
393.774	100	27	6	-1.36960220340534	0.00350921856103481	0.00742751859043242	0.989504899202405
804.282	260	17	8	1.54943858224622	0.0092235090626542	0.015135058917487	0.9865054066637
801.577	210	32	8	-0.594882546550402	0.000855014515752342	0.0095718088744869	1.02311269287318
450.562	290	46	9	0.510067233456521	0.00182034924208772	0.0272252664922636	1.04367699911193
26.598	220	47	8	-0.0561504531582475	2.40913636477422e-05	0.029657855025047	1.05179959876091
179.061	70	19	1	0.141479935737932	0.000510657772834704	0.0925976819217827	1.12436815451988
345.687	110	22	8	-1.18618778616627	0.0044472447092452	0.0124849794765309	1.00421413119817
295.84	250	55	9	-0.726661105021802	0.00583282196529101	0.0423153006637532	1.05433083636918
2271.86	320	31	5	-0.133768780423567	0.000366983848609329	0.0758151908744536	1.1039983110619
1134.575	300	39	8	0.220232036085593	0.000202794728367207	0.0164494860917684	1.0367146488176
601.434	180	21	6	0.390668838406333	0.000288510431559855	0.00750468442846797	1.02518946357359
45.298	180	36	6	0.321803175424325	0.000451148105341227	0.0171275653734611	1.03626444695896
759.518	200	21	7	0.294604439694965	0.000160450471739781	0.0073404509262007	1.02639870667025
832.869	320	44	7	1.07279383440115	0.00427373426860702	0.0146363074833857	1.01171627099319
56.894	140	27	7	-0.144030084642013	6.27926670743566e-05	0.0119628801107128	1.03259188119764
709.399	100	16	6	-1.15300012964483	0.00358713686949726	0.0106779264701696	1.00398041795138
56.895	120	33	6	-0.767281943778982	0.0022218598762825	0.0148716622348021	1.02368713760318
767.134	230	33	8	-0.177561957244685	7.62119924609059e-05	0.00957644722356145	1.02987713994935
503.172	150	21	7	-0.307287983799183	0.000165279346061659	0.0069527614574247	1.02583808618868
700.929	250	35	9	-0.0111927920475605	5.86159907427492e-07	0.018371573626013	1.03977076723856
910.851	190	26	7	-0.551208611599589	0.000547716407789539	0.00715918159218489	1.02167137779221
888.569	240	14	6	1.65823939956129	0.00991558458733924	0.0142188465241273	0.978500901832304
800.615	250	34	6	0.589793869783514	0.000816071564881511	0.00929675347092029	1.02295471075072
1500	230	11	8	0.076973429178868	5.98793320472375e-05	0.0388547649408914	1.06180388142
785.694	110	20	9	-2.08804417375658	0.0251345530959372	0.0225398415698702	0.954350240380151
